state,quarter,total_vehicles,date,vehicle_category,fiscal_year,ev_penetration_rate,total_ev_sold
Andaman & Nicobar Island,Q3,70,2021-10-01,4-Wheelers,2022,1.43,1
Haryana,Q1,4373,2021-05-01,4-Wheelers,2022,0.02,1
Meghalaya,Q1,88,2021-05-01,4-Wheelers,2022,1.14,1
DNH and DD,Q3,938,2021-11-01,2-Wheelers,2022,0.11,1
Andaman & Nicobar Island,Q3,122,2021-12-01,4-Wheelers,2022,0.82,1
Madhya Pradesh,Q1,6302,2021-05-01,2-Wheelers,2022,0.02,1
DNH and DD,Q3,628,2021-10-01,2-Wheelers,2022,0.16,1
DNH and DD,Q1,657,2021-04-01,2-Wheelers,2022,0.15,1
Chandigarh,Q1,413,2021-05-01,4-Wheelers,2022,0.24,1
Himachal Pradesh,Q3,4105,2021-12-01,4-Wheelers,2022,0.02,1
Himachal Pradesh,Q3,3201,2021-10-01,4-Wheelers,2022,0.03,1
Andaman & Nicobar Island,Q2,110,2021-08-01,4-Wheelers,2022,0.91,1
Himachal Pradesh,Q1,3193,2021-06-01,4-Wheelers,2022,0.03,1
Jammu and Kashmir,Q2,3773,2021-09-01,4-Wheelers,2022,0.03,1
Meghalaya,Q1,930,2021-04-01,4-Wheelers,2022,0.11,1
DNH and DD,Q4,354,2022-02-01,4-Wheelers,2022,0.28,1
Jammu and Kashmir,Q2,5336,2021-07-01,4-Wheelers,2022,0.02,1
Assam,Q1,3842,2021-06-01,4-Wheelers,2022,0.03,1
Meghalaya,Q2,759,2021-07-01,4-Wheelers,2022,0.13,1
Tripura,Q1,1523,2021-06-01,2-Wheelers,2022,0.07,1
Tripura,Q3,3579,2021-12-01,2-Wheelers,2022,0.03,1
DNH and DD,Q4,355,2022-03-01,4-Wheelers,2022,0.28,1
Puducherry,Q2,837,2021-08-01,4-Wheelers,2022,0.12,1
Himachal Pradesh,Q1,1503,2021-05-01,4-Wheelers,2022,0.07,1
Himachal Pradesh,Q2,3379,2021-09-01,4-Wheelers,2022,0.03,1
DNH and DD,Q3,336,2021-12-01,4-Wheelers,2022,0.3,1
Jammu and Kashmir,Q1,4469,2021-06-01,4-Wheelers,2022,0.02,1
Meghalaya,Q4,917,2022-02-01,4-Wheelers,2022,0.11,1
DNH and DD,Q2,666,2021-09-01,2-Wheelers,2022,0.15,1
Puducherry,Q3,532,2021-11-01,4-Wheelers,2022,0.19,1
Nagaland,Q2,578,2021-09-01,2-Wheelers,2022,0.17,1
DNH and DD,Q3,333,2021-10-01,4-Wheelers,2022,0.3,1
DNH and DD,Q1,234,2021-06-01,4-Wheelers,2022,0.43,1
Jharkhand,Q1,2290,2021-05-01,4-Wheelers,2022,0.04,1
Himachal Pradesh,Q1,3544,2021-04-01,4-Wheelers,2022,0.03,1
Goa,Q2,982,2021-07-01,4-Wheelers,2022,1.02,10
Chhattisgarh,Q3,5255,2021-10-01,4-Wheelers,2022,0.21,11
Goa,Q4,1160,2022-02-01,4-Wheelers,2022,5.34,62
Odisha,Q3,5095,2021-11-01,4-Wheelers,2022,0.35,18
Rajasthan,Q3,12739,2021-12-01,4-Wheelers,2022,0.57,73
Tamil Nadu,Q2,20865,2021-08-01,4-Wheelers,2022,0.42,88
Goa,Q2,1277,2021-09-01,4-Wheelers,2022,2.66,34
Uttarakhand,Q2,3760,2021-08-01,4-Wheelers,2022,0.16,6
Rajasthan,Q2,11035,2021-09-01,4-Wheelers,2022,0.63,69
Kerala,Q4,14575,2022-02-01,4-Wheelers,2022,2.24,327
Maharashtra,Q3,29346,2021-12-01,4-Wheelers,2022,4.74,1392
Kerala,Q3,15244,2021-11-01,4-Wheelers,2022,1.4,214
Madhya Pradesh,Q4,11325,2022-01-01,4-Wheelers,2022,0.22,25
Maharashtra,Q1,13528,2021-05-01,4-Wheelers,2022,0.89,121
Uttar Pradesh,Q2,27999,2021-07-01,4-Wheelers,2022,0.03,8
Goa,Q4,1474,2022-03-01,4-Wheelers,2022,6.17,91
Andhra Pradesh,Q1,7837,2021-04-01,4-Wheelers,2022,0.33,26
Delhi,Q1,12914,2021-06-01,4-Wheelers,2022,1.15,148
Karnataka,Q2,21407,2021-09-01,4-Wheelers,2022,1.06,227
West Bengal,Q3,7120,2021-10-01,4-Wheelers,2022,0.46,33
Karnataka,Q4,22167,2022-03-01,4-Wheelers,2022,1.04,230
Karnataka,Q3,17247,2021-11-01,4-Wheelers,2022,0.89,153
Bihar,Q3,6992,2021-11-01,4-Wheelers,2022,0.16,11
Andhra Pradesh,Q3,6314,2021-12-01,4-Wheelers,2022,0.49,31
Maharashtra,Q3,28322,2021-11-01,4-Wheelers,2022,1.82,515
Gujarat,Q2,24797,2021-09-01,4-Wheelers,2022,0.53,131
Chhattisgarh,Q4,4667,2022-01-01,4-Wheelers,2022,0.24,11
Rajasthan,Q4,14811,2022-02-01,4-Wheelers,2022,0.78,116
West Bengal,Q1,6316,2021-06-01,4-Wheelers,2022,0.28,18
Madhya Pradesh,Q2,12758,2021-08-01,4-Wheelers,2022,0.2,26
Chhattisgarh,Q4,4200,2022-03-01,4-Wheelers,2022,0.45,19
Andaman & Nicobar Island,Q2,176,2021-07-01,4-Wheelers,2022,4.55,8
Chhattisgarh,Q3,4824,2021-11-01,4-Wheelers,2022,0.29,14
Rajasthan,Q1,12070,2021-06-01,4-Wheelers,2022,0.28,34
Madhya Pradesh,Q3,11820,2021-12-01,4-Wheelers,2022,0.25,30
Bihar,Q4,5658,2022-02-01,4-Wheelers,2022,0.14,8
Tamil Nadu,Q1,7793,2021-06-01,4-Wheelers,2022,0.54,42
Andhra Pradesh,Q4,6361,2022-02-01,4-Wheelers,2022,0.68,43
Karnataka,Q1,8030,2021-06-01,4-Wheelers,2022,0.88,71
Delhi,Q2,9181,2021-09-01,4-Wheelers,2022,2.89,265
Tamil Nadu,Q4,20494,2022-01-01,4-Wheelers,2022,0.59,121
West Bengal,Q4,7968,2022-01-01,4-Wheelers,2022,0.68,54
Goa,Q1,1442,2021-04-01,4-Wheelers,2022,0.55,8
Goa,Q1,749,2021-06-01,4-Wheelers,2022,1.87,14
Maharashtra,Q1,24817,2021-06-01,4-Wheelers,2022,0.77,190
Chandigarh,Q2,1845,2021-08-01,4-Wheelers,2022,0.49,9
Uttarakhand,Q4,3820,2022-02-01,4-Wheelers,2022,0.63,24
Goa,Q3,1293,2021-11-01,4-Wheelers,2022,1.55,20
Karnataka,Q3,16243,2021-12-01,4-Wheelers,2022,0.94,153
Gujarat,Q3,23184,2021-10-01,4-Wheelers,2022,0.45,104
Tamil Nadu,Q3,17001,2021-12-01,4-Wheelers,2022,0.71,121
Haryana,Q4,18621,2022-03-01,4-Wheelers,2022,0.07,13
Chandigarh,Q2,1916,2021-07-01,4-Wheelers,2022,0.47,9
Chhattisgarh,Q2,4350,2021-08-01,4-Wheelers,2022,0.25,11
Kerala,Q2,22813,2021-08-01,4-Wheelers,2022,0.8,183
Kerala,Q2,18406,2021-07-01,4-Wheelers,2022,0.76,139
Uttarakhand,Q1,2728,2021-04-01,4-Wheelers,2022,0.37,10
Uttar Pradesh,Q3,33774,2021-12-01,4-Wheelers,2022,0.06,21
Chhattisgarh,Q4,3922,2022-02-01,4-Wheelers,2022,0.51,20
Maharashtra,Q4,31805,2022-02-01,4-Wheelers,2022,2.85,905
