quarter,maker,vehicle_category,fiscal_year,total_ev_sold
Q3,Mercedes -Benz AG,4-Wheelers,2024,104
Q4,HERO ELECTRIC,2-Wheelers,2024,1052
Q2,PCA Automobiles,4-Wheelers,2024,366
Q1,BAJAJ,2-Wheelers,2024,16994
Q2,OLA ELECTRIC,2-Wheelers,2024,57318
Q1,TVS,2-Wheelers,2024,36614
Q1,MG Motor,4-Wheelers,2024,1493
Q1,BGAUSS,2-Wheelers,2024,2743
Q3,OLA ELECTRIC,2-Wheelers,2024,84536
Q2,Volvo Auto India,4-Wheelers,2024,104
Q1,OKINAWA,2-Wheelers,2024,8640
Q3,Tata Motors,4-Wheelers,2024,13236
Q2,Tata Motors,4-Wheelers,2024,10337
Q2,ATHER,2-Wheelers,2024,20776
Q3,Volvo Auto India,4-Wheelers,2024,145
Q4,PCA Automobiles,4-Wheelers,2024,217
Q1,PCA Automobiles,4-Wheelers,2024,680
Q3,REVOLT,2-Wheelers,2024,2017
Q2,BATTRE ELECTRIC,2-Wheelers,2024,675
Q2,OKINAWA,2-Wheelers,2024,5984
Q4,ATHER,2-Wheelers,2024,35213
Q4,TVS,2-Wheelers,2024,55742
Q2,REVOLT,2-Wheelers,2024,1865
Q2,MG Motor,4-Wheelers,2024,2524
Q2,HERO ELECTRIC,2-Wheelers,2024,2379
Q4,OKAYA EV,2-Wheelers,2024,2441
Q4,BAJAJ,2-Wheelers,2024,40072
Q1,OTHERS,2-Wheelers,2024,15408
Q4,OLA ELECTRIC,2-Wheelers,2024,110872
Q4,AMPERE,2-Wheelers,2024,8190
Q4,Mahindra & Mahindra,4-Wheelers,2024,2316
Q2,KINETIC GREEN,2-Wheelers,2024,840
Q4,OKINAWA,2-Wheelers,2024,2000
Q2,Hyundai Motor,4-Wheelers,2024,390
Q3,MG Motor,4-Wheelers,2024,2190
Q2,KIA Motors,4-Wheelers,2024,69
Q3,BGAUSS,2-Wheelers,2024,3946
Q4,BMW India,4-Wheelers,2024,268
Q1,BATTRE ELECTRIC,2-Wheelers,2024,1911
Q3,HERO ELECTRIC,2-Wheelers,2024,2017
Q1,Volvo Auto India,4-Wheelers,2024,94
Q3,BAJAJ,2-Wheelers,2024,31021
Q2,BYD India,4-Wheelers,2024,310
Q3,AMPERE,2-Wheelers,2024,12434
Q4,BYD India,4-Wheelers,2024,400
Q4,Mercedes -Benz AG,4-Wheelers,2024,84
Q3,Hyundai Motor,4-Wheelers,2024,370
Q3,KIA Motors,4-Wheelers,2024,91
Q4,BATTRE ELECTRIC,2-Wheelers,2024,1128
Q2,BMW India,4-Wheelers,2024,203
Q1,Mahindra & Mahindra,4-Wheelers,2024,10911
Q4,MG Motor,4-Wheelers,2024,2622
Q4,Hyundai Motor,4-Wheelers,2024,338
Q4,OTHERS,2-Wheelers,2024,23397
Q1,Hyundai Motor,4-Wheelers,2024,292
Q4,KIA Motors,4-Wheelers,2024,72
Q1,KINETIC GREEN,2-Wheelers,2024,1925
Q2,TVS,2-Wheelers,2024,40993
Q3,TVS,2-Wheelers,2024,47394
Q1,HERO ELECTRIC,2-Wheelers,2024,6501
Q2,OKAYA EV,2-Wheelers,2024,2785
Q3,PCA Automobiles,4-Wheelers,2024,270
Q2,Mahindra & Mahindra,4-Wheelers,2024,5855
Q1,OLA ELECTRIC,2-Wheelers,2024,69763
Q3,Mahindra & Mahindra,4-Wheelers,2024,4264
Q1,BMW India,4-Wheelers,2024,184
Q1,Tata Motors,4-Wheelers,2024,7247
Q3,BATTRE ELECTRIC,2-Wheelers,2024,1127
Q4,REVOLT,2-Wheelers,2024,1582
Q2,Mercedes -Benz AG,4-Wheelers,2024,72
Q1,OKAYA EV,2-Wheelers,2024,5794
Q3,ATHER,2-Wheelers,2024,24066
Q2,BGAUSS,2-Wheelers,2024,2489
Q4,KINETIC GREEN,2-Wheelers,2024,5349
Q1,Mercedes -Benz AG,4-Wheelers,2024,31
Q2,OTHERS,2-Wheelers,2024,15365
Q3,OKINAWA,2-Wheelers,2024,3997
Q1,BYD India,4-Wheelers,2024,406
Q3,BYD India,4-Wheelers,2024,350
Q1,KIA Motors,4-Wheelers,2024,96
Q1,ATHER,2-Wheelers,2024,27497
Q4,BGAUSS,2-Wheelers,2024,5873
Q3,OKAYA EV,2-Wheelers,2024,2844
Q4,Volvo Auto India,4-Wheelers,2024,116
Q2,BAJAJ,2-Wheelers,2024,17608
Q4,Tata Motors,4-Wheelers,2024,17361
Q1,AMPERE,2-Wheelers,2024,22432
Q3,OTHERS,2-Wheelers,2024,24490
Q1,REVOLT,2-Wheelers,2024,1790
Q3,BMW India,4-Wheelers,2024,423
Q2,AMPERE,2-Wheelers,2024,11332
Q3,KINETIC GREEN,2-Wheelers,2024,1471
Q3,HERO ELECTRIC,2-Wheelers,2022,20694
Q2,OKINAWA,2-Wheelers,2022,8848
Q2,BAJAJ,2-Wheelers,2022,1907
Q4,AMPERE,2-Wheelers,2023,20195
Q1,ATHER,2-Wheelers,2022,1383
Q4,TVS,2-Wheelers,2022,5106
Q3,JITENDRA,2-Wheelers,2022,1059
Q3,PURE EV,2-Wheelers,2022,4773
Q4,PURE EV,2-Wheelers,2022,5184
Q4,OTHERS,2-Wheelers,2023,14204
Q3,OKINAWA,2-Wheelers,2023,29299
Q2,AMPERE,2-Wheelers,2022,2280
Q2,OTHERS,2-Wheelers,2023,11089
Q1,REVOLT,2-Wheelers,2022,239
Q4,BEING,2-Wheelers,2022,3224
Q1,AMPERE,2-Wheelers,2022,1197
Q2,ATHER,2-Wheelers,2023,12945
Q4,BAJAJ,2-Wheelers,2022,2839
Q1,BEING,2-Wheelers,2022,423
Q4,JITENDRA,2-Wheelers,2022,2170
Q4,ATHER,2-Wheelers,2023,31473
Q3,JITENDRA,2-Wheelers,2023,3035
Q4,OLA ELECTRIC,2-Wheelers,2023,60308
Q2,HERO ELECTRIC,2-Wheelers,2022,16811
Q3,ATHER,2-Wheelers,2022,6662
Q1,PURE EV,2-Wheelers,2022,1163
Q3,ATHER,2-Wheelers,2023,22886
Q3,PURE EV,2-Wheelers,2023,2752
Q1,OKINAWA,2-Wheelers,2022,2480
Q1,BEING,2-Wheelers,2023,2741
Q2,AMPERE,2-Wheelers,2023,20071
Q2,ATHER,2-Wheelers,2022,5586
Q4,ATHER,2-Wheelers,2022,6345
Q2,REVOLT,2-Wheelers,2022,1673
Q3,BAJAJ,2-Wheelers,2022,2124
Q3,OKINAWA,2-Wheelers,2022,15892
Q1,TVS,2-Wheelers,2022,519
Q1,OLA ELECTRIC,2-Wheelers,2023,28764
Q3,BEING,2-Wheelers,2022,2571
Q2,HERO ELECTRIC,2-Wheelers,2023,27467
Q3,HERO ELECTRIC,2-Wheelers,2023,25994
Q2,OTHERS,2-Wheelers,2022,4108
Q2,BEING,2-Wheelers,2022,1156
Q1,ATHER,2-Wheelers,2023,9617
Q3,REVOLT,2-Wheelers,2022,2515
Q1,BAJAJ,2-Wheelers,2023,4859
Q4,HERO ELECTRIC,2-Wheelers,2023,18923
Q2,PURE EV,2-Wheelers,2022,3848
Q2,BAJAJ,2-Wheelers,2023,8751
Q1,JITENDRA,2-Wheelers,2022,92
Q1,HERO ELECTRIC,2-Wheelers,2023,16609
Q1,REVOLT,2-Wheelers,2023,5253
Q4,BEING,2-Wheelers,2023,1354
Q2,REVOLT,2-Wheelers,2023,4845
Q3,OTHERS,2-Wheelers,2022,6746
Q3,TVS,2-Wheelers,2023,23330
Q1,OKAYA EV,2-Wheelers,2023,779
Q1,OKINAWA,2-Wheelers,2023,29235
Q4,HERO ELECTRIC,2-Wheelers,2022,29663
Q1,JITENDRA,2-Wheelers,2023,2154
Q1,AMPERE,2-Wheelers,2023,19959
Q2,PURE EV,2-Wheelers,2023,2670
Q3,BAJAJ,2-Wheelers,2023,9846
Q4,OKAYA EV,2-Wheelers,2023,4262
Q1,HERO ELECTRIC,2-Wheelers,2022,2284
Q4,JITENDRA,2-Wheelers,2023,1180
Q4,OKINAWA,2-Wheelers,2023,12764
Q1,TVS,2-Wheelers,2023,3959
Q4,OLA ELECTRIC,2-Wheelers,2022,14161
Q3,BEING,2-Wheelers,2023,3604
Q4,OTHERS,2-Wheelers,2022,12428
Q2,BEING,2-Wheelers,2023,3319
Q4,OKINAWA,2-Wheelers,2022,20445
Q1,PURE EV,2-Wheelers,2023,4345
Q2,OLA ELECTRIC,2-Wheelers,2023,15404
