quarter,fiscal_year,date
Q1,2022,2021-04-01
Q1,2022,2021-05-01
Q1,2022,2021-06-01
Q2,2022,2021-07-01
Q2,2022,2021-08-01
Q2,2022,2021-09-01
Q3,2022,2021-10-01
Q3,2022,2021-11-01
Q3,2022,2021-12-01
Q4,2022,2022-01-01
Q4,2022,2022-02-01
Q4,2022,2022-03-01
Q1,2023,2022-04-01
Q1,2023,2022-05-01
Q1,2023,2022-06-01
Q2,2023,2022-07-01
Q2,2023,2022-08-01
Q2,2023,2022-09-01
Q3,2023,2022-10-01
Q3,2023,2022-11-01
Q3,2023,2022-12-01
Q4,2023,2023-01-01
Q4,2023,2023-02-01
Q4,2023,2023-03-01
Q1,2024,2023-04-01
Q1,2024,2023-05-01
Q1,2024,2023-06-01
Q2,2024,2023-07-01
Q2,2024,2023-08-01
Q2,2024,2023-09-01
Q3,2024,2023-10-01
Q3,2024,2023-11-01
Q3,2024,2023-12-01
Q4,2024,2024-01-01
Q4,2024,2024-02-01
Q4,2024,2024-03-01
